;;;;;;
Entretien, exploitation et maintenance des installations techniques des bâtiments;;;;;;
CPS E2MT²;;;;;;
Annexe 4 : Bordereau des Prix Unitaires, Scénario de Commande et Minimum Garanti;;;;;;
LOT 4.1 - Mission D - BPU Prestations connexes - Rubrique 1;;;;;;
;;;;;;
"Attention, les prestations ci-dessous ne sont utilisables que dans les niveaux de maitenance non inclus au contrat ou pour des travaux neufs (si la main d'oeuvre et la franchise doivent être déduites, alors il faut recourir aux onglets 2 et 3).
Les prestations listées ci-dessous peuvent être commandées par SNCF sans qu'obligatoirement les missions correspondantes en prestations récurrentes soient actives au contrat.";;;;;;
Code PU;Prestation;;Détail Prestation;;Prix en €HT;Unité
SOE-09;Remplacement d'un store intérieur  à lamelles verticales  ;;"Dépose et évacuation du store hors service.
Fourniture et pose d'un store à lamelles verticales identique à l'existant ou qualité technique équivalente d'une hauteur max de 2,5 ml à commande manuelle.";;281,82;Forfait pièces et main d'œuvre
Extincteurs;;;;;;
EXT-01;Fourniture appareil neuf - Eau - 6 litres (Remplacement de l'équipement pièce et main d'oeuvre, support inclus);;;;65,11;Appareil
EXT-02;Fourniture appareil neuf - Eau - 9 litres (Remplacement de l'équipement pièce et main d'oeuvre, support inclus);;;;67,90;Appareil
EXT-03;Fourniture appareil neuf - CO2 - 2 kg (Remplacement de l'équipement pièce et main d'oeuvre, support inclus);;;;78,13;Appareil
EXT-04;Fourniture appareil neuf - CO2 - 5 kg (Remplacement de l'équipement pièce et main d'oeuvre, support inclus);;;;130,21;Appareil
EXT-05;Fourniture appareil neuf - Poudre ABC - 6 kg (Remplacement de l'équipement pièce et main d'oeuvre, support inclus);;;;121,95;Appareil
EXT-06;Fourniture appareil neuf - Poudre ABC - 9 kg (Remplacement de l'équipement pièce et main d'oeuvre, support inclus);;;;154,77;Appareil
EXT-07;Recharge suite malveillance ou sinistre - Eau - 6 litres;;;;21,59;Appareil
EXT-08;recharge suite malveillance ou sinistre - Eau - 9 litres;;;;25,00;Appareil
EXT-09;Recharge suite malveillance ou sinistre - CO2 - 2 kg;;;;22,73;Appareil
EXT-10;Recharge suite malveillance ou sinistre - CO2 - 5 kg;;;;35,23;Appareil
EXT-11;Recharge suite malveillance ou sinistre - Poudre ABC - 6 kg;;;;32,95;Appareil
EXT-12;Recharge suite malveillance ou sinistre - Poudre ABC - 9 kg;;;;37,50;Appareil
Amiante;;;;;;
AM-01;Analyse amiante;;Compris prélèvement in situ, analyse en laboratoire et rapport.;;80,68;Forfait par prélèvement
Location de moyens d'accès nécessaires pour la réalisation des prestations connexes (1);;;;;;
